title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Bishop Strachan School Model United Nations (BSSMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","BSSMUN is a recognized Toronto circuit conference with a reputation for solid chairing and a serious committee atmosphere. It is a strong choice if you want a conference that rewards both procedural fluency and real policy substance, not just loud speaking. Delegations often use it as a benchmark event for judging progress across the season.","Opening ceremonies -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); school delegations are typical","1. Open the high school MUN conferences directory. 2. Find BSSMUN and follow the host link. 3. Register your delegation. 4. Pay fees. 5. Complete assignments and submit position papers if required.","mun|high-school|canada|toronto|competitive","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Branksome Hall Model United Nations (BH MUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","BH MUN is a well known Toronto area conference that is often chosen for its accessible but competitive structure. It is a great event for newer delegates to gain confidence while still giving experienced delegates room to lead blocs and drive outcomes. If your school wants a reliable conference that is widely recognized on the circuit, BH MUN fits.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Locate BH MUN and open the host page. 3. Register delegation or individual entry as allowed. 4. Pay fees. 5. Submit preferences and required documents by deadlines.","mun|high-school|canada|toronto|training","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Upper Canada College Model United Nations (UCCMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","UCCMUN is part of the Toronto circuit and is known for strong student leadership, clear logistics, and an environment that rewards disciplined diplomacy. It is a good place to practice writing persuasive resolutions and managing merges without losing procedural accuracy. Delegations often attend because it is reputable, consistent, and challenging in a fair way.","Opening ceremonies -> Committee sessions -> Drafting and merging -> Voting and awards","High school students (typically Grade 8-12); typically school delegations","1. Open the high school MUN conferences directory. 2. Find UCCMUN and follow the host link. 3. Register the delegation. 4. Pay fees if required. 5. Submit committee and country preferences, plus position papers if required.","mun|high-school|canada|toronto|diplomacy","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Toronto Model United Nations (TMUN)","MUN","In-Person","Canada","High School","TBA (see official listing)","TMUN is a classic Toronto circuit conference that many schools use for both training and competition. It is particularly good for delegates who want lots of practice with speeches, amendments, and resolution structure in a realistic committee setting. If you want a recognized conference that is widely attended and consistently run, TMUN is a dependable choice.","Opening session -> Committee debate -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and independent delegates depending on conference policy","1. Open the high school MUN conferences directory. 2. Locate TMUN and follow the registration link. 3. Register your delegation or individual entry as allowed. 4. Pay fees. 5. Confirm assignments and submit any required documents.","mun|high-school|canada|toronto|procedure","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Kingswood Oxford Model United Nations (KOMUN)","MUN","In-Person","USA","High School","TBA (see official site)","KOMUN is a respected New England regional conference and a strong choice for delegates who want a well structured committee experience without needing a massive travel budget. It is known for clear procedure and a schedule that gives delegates time to draft, negotiate, and polish outcomes. If you want a serious regional conference that still feels student friendly, KOMUN is a strong option.","Opening ceremonies -> Committee sessions -> Working papers and drafting -> Voting and awards","Middle school and high school students (typically Grades 7-12); check conference policy for grade bands","1. Go to the official KOMUN page. 2. Locate registration for schools or delegates. 3. Submit delegation details and pay fees if required. 4. Select committees and countries. 5. Prepare position papers if required and attend conference.","mun|high-school|usa|new-england|regional","https://www.kingswoodoxford.org/komun-2026/","https://www.kingswoodoxford.org/komun-2026/"
"Iowa High School Model United Nations (IHSMUN)","MUN","In-Person","USA","High School","TBA (see official site)","IHSMUN is a long running conference that is especially valued for its education first approach while still offering a competitive committee environment. It is a great place to learn the fundamentals of procedure and resolution writing, and it is often recommended for delegates building strong core skills. If you want a reputable US conference with a clear learning curve, IHSMUN is a smart pick.","Opening session -> Committee debate -> Draft resolution development -> Voting and awards","High school students (typically Grades 9-12); participation as school delegations is common","1. Open the official IHSMUN conference page. 2. Follow the registration instructions for schools or individuals. 3. Submit delegation information. 4. Confirm fees and deadlines. 5. Complete assignments and submit any required position papers.","mun|high-school|usa|midwest|skills","https://csbs.uni.edu/history/history/IHSMUN/spring-2026-conference","https://csbs.uni.edu/history/history/IHSMUN/spring-2026-conference"
"Chicago International Model United Nations (CIMUN)","MUN","In-Person","USA","High School","TBA (see official listing)","CIMUN is an internationally themed high school conference that gives delegates exposure to a wide committee range and a more global delegate mix than many local events. It is a strong option for students who want a serious conference experience in a major US city without needing to attend the very top tier mega conferences. Expect a structured pace and lots of drafting time.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 9-12); school delegations and independent delegates depending on conference policy","1. Open the official listing. 2. Find CIMUN and follow its host link. 3. Register delegation or individual entry. 4. Pay fees if applicable. 5. Confirm committee assignments and complete required submissions.","mun|high-school|usa|chicago|international","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences"
"Mid-American Model United Nations (MAMUN)","MUN","In-Person","USA","High School","TBA (see official site)","MAMUN is a well established Midwestern conference with a reputation for consistent organization and a solid committee experience. It is a great place to practice drafting and merging under realistic time pressure, and it tends to attract delegations that take preparation seriously. If you want a dependable US conference that rewards both diplomacy and procedure, MAMUN is a strong choice.","Opening session -> Committee debate -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 9-12); registration usually via schools","1. Go to the MAMUN calendar page. 2. Find the relevant conference entry and deadlines. 3. Register your school delegation. 4. Pay fees as required. 5. Submit committee and country preferences plus any required documents.","mun|high-school|usa|midwest|resolution","https://www.mamunonline.com/calendar","https://www.mamunonline.com/calendar"
"Clinton Model United Nations Conference (ClintonMUNC)","MUN","In-Person","USA","High School","TBA (see directory)","ClintonMUNC is a regional high school conference that can be a great practical event for delegates who want lots of reps in speaking, negotiation, and clause writing. Conferences like this are often where students level up quickly because the committees are active and the learning is hands on. It is a smart option for building confidence before tackling bigger national conferences.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); check whether schools only or individual delegates are allowed","1. Open the high school MUN conferences directory. 2. Search for ClintonMUNC and open its host link. 3. Register delegation or individual entry as allowed. 4. Pay fees if required. 5. Confirm assignments and submit any required documents.","mun|high-school|usa|regional|training","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Carl Sandburg Model United Nations (CSMUN)","MUN","In-Person","USA","High School","TBA (see directory)","CSMUN is a school based conference that works well as a competitive training event for delegates who want a realistic committee setting without the pressure of a mega conference. It is especially useful for practicing writing clean operative clauses, negotiating merges, and using procedure strategically. For many delegations, events like CSMUN are where you build the basics that later win awards at larger conferences.","Opening session -> Committee debate -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); usually registered through schools","1. Open the high school MUN conferences directory. 2. Find CSMUN and follow the host link. 3. Register your school delegation. 4. Pay fees if needed. 5. Submit preferences and any position papers by the conference deadlines.","mun|high-school|usa|illinois|school-hosted","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Virginia Tech Model United Nations Conference (VTMUNC)","MUN","In-Person","USA","High School","TBA (see directory)","VTMUNC is a well known high school event hosted in a university environment, which often means strong staffing and structured committees. It is a great option for delegates who want a serious conference experience while still being accessible for schools that do not travel internationally. Expect a clear schedule, a strong focus on drafting outcomes, and a competitive awards culture.","Opening ceremonies -> Committee sessions -> Drafting and merging -> Voting and awards","High school students (typically Grade 9-12); school delegations are common","1. Open the high school MUN conferences directory. 2. Find VTMUNC and open the host link. 3. Register delegation size and school details. 4. Pay fees if required. 5. Submit committee preferences and required documents by the listed deadlines.","mun|high-school|usa|virginia|competitive","https://bestdelegate.com/high-school-model-united-nations-conferences/","https://bestdelegate.com/high-school-model-united-nations-conferences/"
"Cornell Model United Nations Conference (CMUNC)","MUN","In-Person","USA","High School","TBA (see official listing)","CMUNC is a respected high school conference that benefits from being hosted in an academically intense environment. It is often chosen by experienced delegations because it rewards well researched policy positions and disciplined negotiation. If you want a conference that pushes delegates to be sharp, strategic, and prepared, CMUNC is a strong option.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 9-12); registration usually through schools","1. Open the official listing. 2. Locate CMUNC and follow the host link. 3. Register your delegation. 4. Pay fees if applicable. 5. Confirm assignments and submit position papers if required.","mun|high-school|usa|ivy-style|policy","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences"
"Dartmouth Model United Nations (DartMUN)","MUN","In-Person","USA","High School","TBA (see official listing)","DartMUN is a well regarded high school conference that often attracts strong delegations looking for a rigorous committee experience. It is a good place to practice high level strategy, including bloc formation, amendment timing, and coalition management. If you want a conference that feels competitive and rewards preparation, DartMUN fits.","Opening ceremonies -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 9-12); usually registered through schools","1. Open the official listing. 2. Find DartMUN and open the host page. 3. Register your school delegation. 4. Pay any fees required. 5. Complete preferences and submit required documents by deadlines.","mun|high-school|usa|new-england|rigor","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences","https://en.wikipedia.org/wiki/List_of_model_United_Nations_conferences"
"Georgia Tech Model United Nations (TechMUN)","MUN","In-Person","USA","High School","TBA (see directory)","TechMUN is a strong option for high school delegates who want a structured conference hosted with university level staffing standards. It is often appealing because it blends accessibility with a serious committee experience, so newer delegates can learn quickly while experienced delegates can push for awards. If you want a conference that feels organized and credible, TechMUN is a good pick.","Opening session -> Committee debate -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 9-12); school delegations are common","1. Open the Best Delegate college and university conferences directory. 2. Find TechMUN and follow the host link for registration details. 3. Register delegation or individual entry if allowed. 4. Pay fees if required. 5. Confirm assignments and submit position papers if required.","mun|high-school|usa|atlanta|university-hosted","https://bestdelegate.com/college-university-model-united-nations-conferences/","https://bestdelegate.com/college-university-model-united-nations-conferences/"
"Regional Conference International Model United Nations (RCIMUN)","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","RCIMUN is part of the wider European conference ecosystem and is especially useful for delegates who want a structured, internationally oriented MUN experience. It is often valued for its cross school delegate mix and its emphasis on diplomacy and consensus building. If you want an accessible European conference that still feels competitive, RCIMUN is a strong candidate.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); registration usually through schools","1. Open the THIMUN upcoming conferences page. 2. Locate the RCIMUN entry and follow any linked host information. 3. Register your school delegation. 4. Pay fees if required. 5. Submit preferences and documents by the posted deadlines.","mun|high-school|europe|international|consensus","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"TIMUN Istanbul","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","TIMUN Istanbul is a well known European circuit conference that attracts international school delegations and offers a polished committee experience. It is particularly good for practicing diplomacy, clause writing, and negotiating merges across diverse blocs. If you want a reputable conference in the region that feels internationally serious, TIMUN is a strong pick.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the THIMUN upcoming conferences page. 2. Find the TIMUN Istanbul listing. 3. Register as a delegation via the host instructions. 4. Pay fees if required. 5. Submit preferences and position papers by deadlines.","mun|high-school|europe|istanbul|international","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"DSAMUN Athens","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","DSAMUN Athens is a strong regional conference that can be a great choice for delegates who want a serious committee environment in Europe. It tends to emphasize practical diplomacy, with plenty of time for negotiation and drafting. If you want a respected conference that is accessible to international schools in the region, DSAMUN is worth targeting.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations and international schools typically welcome","1. Open the THIMUN upcoming conferences page. 2. Locate DSAMUN Athens. 3. Follow host registration instructions for delegations. 4. Pay fees if required. 5. Complete committee and country preferences and submit position papers if required.","mun|high-school|europe|greece|debate","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"CGSMUN Athens","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","CGSMUN Athens is a reputable conference option for students in the European and Mediterranean circuit who want a structured, committee focused experience. It is often valued for predictable logistics and committees that give delegates real chances to lead, draft, and negotiate. If you want a conference that builds strong fundamentals while still being competitive, CGSMUN fits well.","Opening ceremonies -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); school delegations are typical","1. Open the THIMUN upcoming conferences page. 2. Find CGSMUN Athens. 3. Register your school delegation via host instructions. 4. Pay fees if applicable. 5. Submit assignments and required documents by deadlines.","mun|high-school|europe|greece|committee","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"ACMUN Thessaloniki","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","ACMUN Thessaloniki is a strong pick for delegates who want a rigorous European conference that emphasizes diplomacy and policy substance. It is a good environment for building confidence in procedure while also learning how to shape outcomes through negotiation. If you want an internationally oriented conference that is easier to access than US events, ACMUN is a solid choice.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the THIMUN upcoming conferences page. 2. Locate ACMUN Thessaloniki. 3. Follow the host link or instructions for delegation registration. 4. Pay fees if required. 5. Submit preferences and position papers by deadlines.","mun|high-school|europe|greece|diplomacy","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"ACGMUN Athens","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","ACGMUN Athens is a reputable conference on the European circuit that is especially appealing for international schools looking for a well run committee experience. It offers delegates the chance to practice both persuasive speaking and careful drafting, which is the core of high performance MUN. If you want a credible international conference that is accessible and competitive, ACGMUN is a strong option.","Opening ceremonies -> Committee sessions -> Drafting and merging -> Voting and awards","High school students (typically Grade 8-12); school delegations are typical","1. Open the THIMUN upcoming conferences page. 2. Find ACGMUN Athens. 3. Register your delegation following host instructions. 4. Pay fees if required. 5. Submit committee preferences and required documents by deadlines.","mun|high-school|europe|greece|international","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"Mediterranean Model United Nations (MEDIMUN)","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","MEDIMUN is a strong Mediterranean circuit conference that attracts students who want an internationally oriented, committee heavy experience. It is a good option if your delegation values diplomacy and consensus building, while still competing for awards. The regional setting makes it accessible for European, Middle Eastern, and international schools.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the THIMUN upcoming conferences page. 2. Locate MEDIMUN. 3. Register as a school delegation per host instructions. 4. Pay fees if applicable. 5. Submit preferences and any required position papers by deadlines.","mun|high-school|europe|mediterranean|policy","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"SAIMUN Dublin","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","SAIMUN Dublin is a respected European conference that can be a great pick for delegates who want a balanced mix of competition and learning. It is especially useful for developing confident public speaking and practical drafting skills in committees that stay active throughout the day. If you want a credible conference in a strong MUN city, SAIMUN is a solid choice.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); school delegations and international schools typically welcome","1. Open the THIMUN upcoming conferences page. 2. Find SAIMUN Dublin. 3. Follow host instructions to register your delegation. 4. Pay fees if required. 5. Submit committee and country preferences and any required documents.","mun|high-school|europe|ireland|debate","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"International Model United Nations (IMUN) Lisbon","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","IMUN Lisbon is a strong international style conference that is appealing for delegations who want a globally mixed delegate pool and a polished committee experience. It is a great place to practice coalition building across different speaking styles and levels of experience. If you want a reputable European conference in a highly accessible location, IMUN Lisbon is a strong option.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are typical","1. Open the THIMUN upcoming conferences page. 2. Locate IMUN Lisbon. 3. Register your school delegation via the host instructions. 4. Pay fees if applicable. 5. Submit preferences and position papers by deadlines.","mun|high-school|europe|portugal|international","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"Berlin Model United Nations (BERMUN)","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","BERMUN is a well known European conference and a strong pick for delegates who want an internationally oriented MUN experience in a major capital city. It tends to reward delegates who combine policy depth with disciplined diplomacy, especially in resolution drafting and negotiation. If you want a conference with strong name recognition and a serious committee culture, BERMUN is a great target.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); international school delegations typically welcome","1. Open the THIMUN upcoming conferences page. 2. Find BERMUN. 3. Follow the host registration instructions for delegations. 4. Pay fees if required. 5. Submit assignments and any required documents by deadlines.","mun|high-school|europe|germany|prestige","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"Leiden Model United Nations (LEMUN)","MUN","In-Person","Europe","High School","TBA (see THIMUN calendar)","LEMUN is a respected European conference that is often chosen by delegations who want a structured, diplomacy focused committee experience. It is a strong event for practicing clean drafting and learning how to build consensus across diverse blocs. If you want a high quality conference in a region known for serious MUN participation, LEMUN is a solid pick.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the THIMUN upcoming conferences page. 2. Locate LEMUN. 3. Register your school delegation via the host instructions. 4. Pay fees if applicable. 5. Submit committee preferences and required documents by deadlines.","mun|high-school|europe|netherlands|committee","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"Cairo American College Model United Nations (CACMUN)","MUN","In-Person","Middle East & North Africa","High School","TBA (see THIMUN calendar)","CACMUN is a strong regional conference in the MENA circuit and is a great choice for delegates who want an international school style MUN experience without needing to travel to Europe or the US. It is particularly good for building practical committee instincts like negotiating merges, drafting strong operative clauses, and using procedure properly. If you want a credible MENA conference with an active delegate pool, CACMUN is a strong option.","Opening session -> Committee debates -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 8-12); school delegations are typical","1. Open the THIMUN upcoming conferences page. 2. Find CACMUN. 3. Register your delegation following host instructions. 4. Pay fees if required. 5. Submit preferences and any required documents by deadlines.","mun|high-school|mena|egypt|international-schools","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
"OISMUN Cairo","MUN","In-Person","Middle East & North Africa","High School","TBA (see THIMUN calendar)","OISMUN Cairo is part of the MENA conference ecosystem and is a good pick for delegates who want active committees and a strong focus on diplomacy. It is especially helpful for developing speaking confidence and learning how to shape outcomes through coalition management. If you want a reputable regional conference that is accessible and competitive, OISMUN is worth targeting.","Opening ceremonies -> Committee sessions -> Drafting and negotiation -> Voting and awards","High school students (typically Grade 8-12); school delegations are common","1. Open the THIMUN upcoming conferences page. 2. Locate OISMUN Cairo. 3. Register as a school delegation via host instructions. 4. Pay fees if applicable. 5. Submit preferences and position papers by deadlines.","mun|high-school|mena|egypt|debate","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/","https://foundation.thimun.org/thimun-dates-for-upcoming-conferences/"
