title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Hanyang University Model United Nations 2026","MUN","In-Person","Asia","Uni","TBA","Hanyang University MUN is part of the Seoul collegiate circuit and offers structured committees with a strong international relations culture. It is valuable for delegates who want serious debate practice and high quality chair feedback. Many teams use it to build momentum in the Asian university circuit.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically undergraduate delegates","1. Check the conference schedule page. 2. Register your delegation. 3. Pay fees. 4. Submit delegate details and required documents","mun|collegiate|seoul|asia|in-person","https://www.hanyangmun.com/conference-schedule.html","https://www.hanyangmun.com/"
"Harvard WorldMUN India 2026","MUN","In-Person","Asia","HS","TBA","Harvard WorldMUN India brings an internationally recognizable brand into the South Asian circuit and is designed to attract strong student delegates. It is appealing because it combines global networking with structured committee debate in a regional hub setting. Students attend to gain international conference exposure without the travel barrier of Europe or the US.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students with eligibility defined by the host edition and registration rules","1. Open the listed conference page. 2. Follow registration instructions. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|highschool|india|international|prestige","https://www.learnwithleaders.com/conference/harvardworldmun-india/","https://www.learnwithleaders.com/conference/harvardworldmun-india/"
"Uthan Youth Parliament 2026","MUN","In-Person","Asia","HS/Uni","TBA","Uthan Youth Parliament is a youth diplomacy and policy simulation that sits alongside the Indian MUN ecosystem and emphasizes competitive participation. It is attractive because it blends parliamentary style debate with strong speaking and negotiation expectations. Many students join for high intensity committee culture and measurable awards outcomes.","Opening -> Committee sessions -> Motions and moderated debate -> Draft outcomes -> Voting -> Closing and awards","High school and university students depending on edition rules","1. Open the event listing. 2. Register as a delegate. 3. Pay fees if required. 4. Follow assignment and document submission instructions","youth-parliament|mun|india|competitive|speaking","https://www.dublieu.com/muns/the-uthan-youth-parliament","https://www.dublieu.com/muns/the-uthan-youth-parliament"
"Beijing Model United Nations (BEIMUN) 2026","MUN","In-Person","Asia","HS","TBA","BEIMUN is a major East Asia high school MUN conference and is a core event for international schools across China and the region. It is respected for serious committee culture and strong delegate competition especially among experienced teams. Many delegates attend because it is a recognized feeder style conference for high achieving programs.","Opening -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 usually registering through school delegations","1. Access the official BEIMUN form. 2. Register your delegation or interest. 3. Complete payment if required. 4. Submit required documents and position papers","mun|highschool|beijing|asia|prestige","https://www.beijingmun.org/beimun-xxxiii-form-i","https://www.beijingmun.org/"
"Cheongshim International Academy MUN (CSIAMUN) 2026","MUN","In-Person","Asia","HS","TBA","CSIAMUN is a Korea based high school MUN conference that emphasizes structured debate and high quality committee experiences. It is popular among international schools in East Asia and offers a strong environment for developing speaking and drafting skills. Delegates often attend to build regional circuit credibility and leadership experience.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12","1. Review conference details. 2. Register as a school delegation. 3. Pay fees if required. 4. Submit position papers and forms per committee guidance","mun|highschool|korea|east-asia|in-person","https://csiamunxv.com/conference/about-csiamun/","https://csiamunxv.com/"
"Singapore International Model United Nations (SIMUN) 2026","MUN","In-Person","Asia","HS","TBA","SIMUN is a Singapore based conference that serves as an accessible entry point to the regional circuit while still providing real committee practice. It is valuable because Singapore attracts international schools and encourages a multicultural delegate mix even at smaller scale. Delegates attend to build confidence in procedure speaking and resolution writing.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 7-12 depending on organizer rules","1. Visit the SIMUN site. 2. Register your school delegation or interest. 3. Pay fees if required. 4. Follow instructions for assignments and documents","mun|singapore|highschool|asia|accessible","https://sites.google.com/ifs.edu.sg/simun/home","https://sites.google.com/ifs.edu.sg/simun/home"
"HKMUN 2026","MUN","In-Person","Asia","HS","TBA","HKMUN is one of the best known high school MUN conferences in Hong Kong and attracts delegations from across Asia and beyond. It is respected for strong committees and a competitive delegate pool that rewards research and effective coalition building. Many students attend because it is a recognizable regional flagship with serious awards culture.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12 registering via delegations","1. Visit the HKMUN site. 2. Register your delegation. 3. Pay fees and confirm delegate numbers. 4. Submit position papers if required","mun|hong-kong|highschool|asia|prestige","https://www.hkmun.org/","https://www.hkmun.org/"
"WIMUN New York 2026","MUN","In-Person","North America","HS/Uni","December 5, 2025","WIMUN New York is a globally recognized conference aligned with UN4MUN procedure and is hosted through WFUNA which makes it feel closer to authentic UN practice. It is prestigious because it emphasizes realistic rules of procedure and attracts an international mix of schools and universities. Delegates attend for credibility training and a strong global network experience.","Opening -> UN4MUN training -> Committee sessions -> Draft outcomes -> Voting -> Closing ceremonies and awards","High school students typically ages 13-19 and university students depending on registration category","1. Create a MyMUN profile if needed. 2. Register as individual or group. 3. Pay fees. 4. Follow assignment and position paper instructions if required","mun|un4mun|new-york|international|hs-uni","https://wfuna.org/program/wimun-new-york-registration/","https://wfuna.org/program/wimun/"
"Yale Model United Nations Singapore 2026","MUN","In-Person","Asia","HS","TBA","YMUN Singapore is a regional extension of the Yale brand that targets the international school circuit in Southeast Asia. It is attractive because it offers a prestige conference experience without requiring US travel and draws delegations from across Asia. Delegates attend for competitive committee rooms and strong academic expectations.","Opening -> Committee sessions -> Debate and caucus -> Resolution drafting -> Voting -> Closing and awards","High school students typically Grades 9-12 with school delegations","1. Visit the YMUN Singapore site. 2. Register your delegation. 3. Pay fees and confirm attendance. 4. Submit required documents and position papers","mun|highschool|singapore|yale-brand|asia","https://ymuns.org/secretariat","https://ymuns.org/"
"NextGen MUN Delhi 2026","MUN","In-Person","Asia","HS","TBA","NextGen MUN is positioned as a youth focused conference that prioritizes accessibility and delegate development in the Indian circuit. It is useful for students who want clear structure practical training and a supportive environment while still participating in competitive debate. Many delegates attend to build early awards experience and speaking confidence.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically secondary level depending on organizer rules","1. Open the NextGen MUN listing. 2. Register as a delegate. 3. Pay fees if required. 4. Follow assignment instructions and submit any documents requested","mun|delhi|highschool|india|beginner-friendly","https://www.dublieu.com/muns/nextgen-mun-2026","https://www.dublieu.com/muns/nextgen-mun-2026"
"Veda MUN Virtual 2026","MUN","Online","Asia","HS","TBA","Veda MUN is a virtual conference designed to lower barriers for participation and allow delegates from many regions to join without travel. It is useful for students who want to practice procedure and drafting in an online environment that still runs structured committees. Many delegates use it to build early experience before in person conferences.","Online opening -> Virtual committee sessions -> Moderated debate -> Draft resolutions -> Online voting -> Closing and awards","High school students typically secondary level with virtual participation","1. Open the Veda MUN listing. 2. Register as a delegate. 3. Pay fees if required. 4. Receive committee details and submit position papers if requested","mun|online|highschool|india|accessible","https://www.dublieu.com/muns/veda-mun","https://www.dublieu.com/muns/veda-mun"
"OMUN Ontario Model United Nations 2026","MUN","In-Person","North America","HS","TBA","OMUN is a Canada based high school conference that provides structured committee debate and a strong training environment for students building MUN foundations. It is attractive because it is consistent and program friendly for schools that want a reliable conference experience each year. Delegates attend to practice speaking and drafting with clear procedure expectations.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12","1. Visit the OMUN site. 2. Register your delegation. 3. Pay fees and confirm delegate numbers. 4. Submit required forms and position papers if needed","mun|highschool|canada|ontario|in-person","https://www.ontariomun.com/","https://www.ontariomun.com/"
"KOMUN Kingswood Oxford Model United Nations 2026","MUN","In-Person","North America","HS","TBA","KOMUN is a school hosted high school MUN conference designed to provide structured committees and a supportive delegate experience. It is useful for newer and mid level delegates who want a well run conference without the extreme scale of mega conferences. Many schools attend to build delegate confidence and leadership pipeline.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12","1. Visit the KOMUN page. 2. Register your delegation or interest. 3. Complete any fee payment. 4. Follow committee assignment and document submission instructions","mun|highschool|school-hosted|training|in-person","https://www.kingswoodoxford.org/komun-2026/","https://www.kingswoodoxford.org/komun-2026/"
"IHSMUN Spring 2026 Conference","MUN","In-Person","North America","HS","TBA","IHSMUN is a school accessible high school conference option that offers a structured committee environment and emphasizes educational value. It is a good fit for delegates who want practical experience in debate and writing with clear procedure guidance. Many programs use it to grow younger delegates and provide leadership opportunities.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12","1. Open the conference page. 2. Register your delegation. 3. Confirm participation requirements. 4. Submit any required paperwork and position papers","mun|highschool|spring-conference|training|in-person","https://csbs.uni.edu/history/history/IHSMUN/spring-2026-conference","https://csbs.uni.edu/history/history/IHSMUN/spring-2026-conference"
"MAMUN Online 2026","MUN","Online","North America","HS","TBA","MAMUN Online provides a virtual conference structure that allows schools to participate without travel and still experience formal committee debate. It is useful for building procedural competence and writing discipline in an online setting that can be repeated across the year. Many schools use it as a consistent training platform for developing delegates.","Online opening -> Virtual committee sessions -> Moderated debate -> Draft resolutions -> Online voting -> Closing","High school students typically Grades 7-12 depending on program rules","1. Check the calendar and deadlines page. 2. Register your delegation. 3. Pay fees if required. 4. Follow committee assignment and submission requirements","mun|online|highschool|training|accessible","https://www.mamunonline.com/calendar","https://www.mamunonline.com/"
"London YouthMUN 2026","MUN","In-Person","Europe","HS","TBA","London YouthMUN is designed to develop young delegates through structured committee sessions and a supportive learning environment. It is valuable because it focuses on diplomacy skills and leadership growth while still offering real debate practice. Delegates attend to build confidence and clarity in speaking and negotiation.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Closing","High school students typically secondary school ages","1. Visit the LYDF LYMUN page. 2. Register as a delegate or through a school. 3. Pay fees if required. 4. Follow assignment and document submission steps","mun|highschool|london|youth|training","https://www.lydf.org.uk/lymun","https://www.lydf.org.uk/lymun"
"QMUN London 2026","MUN","In-Person","Europe","Uni","TBA","QMUN is a London collegiate conference that offers structured committees and a strong academic debate culture. It is useful for university delegates seeking consistent practice in formal speaking negotiation and drafting. Many teams attend as part of the UK circuit to build performance and leadership depth.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","University students typically participating through their institutions","1. Open the event listing. 2. Register your delegation. 3. Pay fees if required. 4. Submit delegate roster and position papers if requested","mun|collegiate|london|uk|in-person","https://www.qmsu.org/event/21478/","https://www.qmsu.org/event/21478/"
"ModelUNitedNation.org International Circuit Registration","MUN","Hybrid","Global","HS/Uni","TBA","This organizer offers a rotating set of international MUN style conferences in multiple global cities with centralized registration. It is attractive for students who want flexible venue choice and a relatively straightforward sign up process. Delegates attend for international exposure and committee practice that can be paired with workshops and networking.","Choose venue -> Register -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Closing","High school and university students depending on selected conference edition requirements","1. Select your venue and date. 2. Complete the registration form. 3. Pay fees if required. 4. Follow assignment and document submission instructions","mun|international|hybrid|multi-city|accessible","https://modelunitednation.org/offline/representative/registration/form","https://modelunitednation.org/"
"WFUNA WIMUN Geneva 2026","MUN","In-Person","Europe","Uni","TBA","WIMUN Geneva is associated with WFUNA and benefits from a diplomacy focused environment close to international institutions. It is valued for emphasizing realistic procedure and policy outcomes rather than purely performative debate. Delegates attend to build credibility in formal committee work and international networking.","Opening -> Procedure orientation -> Committee sessions -> Draft outcomes -> Voting -> Closing ceremonies","University students typically with some editions allowing advanced high school participation depending on rules","1. Visit the WFUNA WIMUN program pages. 2. Register through the listed portal. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|geneva|wfuna|international|procedure","https://wfuna.org/program/wimun/","https://wfuna.org/program/wimun/"
"Yale MUN Latin America 2026","MUN","In-Person","Latin America","HS","TBA","YMUN Latin America extends a prestige brand into the region and is designed to draw international school and strong local delegations. It is attractive for students who want elite style committee environments closer to home. Delegates attend for competitive debate strong chairing and recognizable conference branding.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school students typically Grades 9-12 registering via delegations","1. Visit the YMUN LATAM site. 2. Register your delegation. 3. Pay fees. 4. Submit required documents and position papers","mun|highschool|latin-america|yale-brand|in-person","https://www.ymunlatam.org/","https://www.ymunlatam.org/"
"FWWMUN New Delhi 2026","MUN","In-Person","Asia","HS/Uni","TBA","Future We Want MUN New Delhi is part of the international franchise and aims to make global style MUN accessible to a wide delegate base. It is useful for students seeking a clear sign up pathway and a program that blends committee debate with training components. Delegates often attend for international exposure and structured practice in speaking and drafting.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Workshops and closing","High school and university students depending on track requirements","1. Visit the New Delhi edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|india|international|hs-uni|workshops","https://www.fwwmun-nyc.org/mun-newdelhi","https://www.fwwmun-nyc.org/"
"FWWMUN Mexico City 2026","MUN","In-Person","Latin America","HS/Uni","TBA","Future We Want MUN Mexico City is designed to attract international delegates while remaining accessible to local and regional participants. It is appealing for students who want a structured committee experience with international networking and optional training style programming. Delegates attend for confidence building in diplomacy skills in a large multicultural environment.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Workshops and closing","High school and university students depending on track","1. Open the Mexico City edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Follow assignment and submission instructions","mun|mexico|international|hs-uni|accessible","https://www.fwwmun-nyc.org/mun-mexico-city","https://www.fwwmun-nyc.org/"
"FWWMUN Rio de Janeiro 2026","MUN","In-Person","Latin America","HS/Uni","TBA","Future We Want MUN Rio de Janeiro offers a global franchise style MUN experience with an international delegate base. It is attractive because it combines committee debate with a youth summit style community and optional training workshops. Delegates attend for international exposure and structured practice in negotiation and drafting.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Workshops and closing","High school and university students depending on track","1. Open the Rio edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|rio|international|hs-uni|workshops","https://www.fwwmun-nyc.org/mun-riodejaneiro","https://www.fwwmun-nyc.org/"
"FWWMUN Nairobi 2026","MUN","In-Person","Africa","HS/Uni","TBA","Future We Want MUN Nairobi brings the franchise model to East Africa and aims to connect students into an international youth diplomacy network. It is useful for delegates seeking global exposure and structured debate practice in a regional hub. Delegates attend for committee experience plus community networking across countries.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Workshops and closing","High school and university students depending on track requirements","1. Visit the Nairobi edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Follow assignment and submission guidance","mun|nairobi|international|hs-uni|africa","https://www.fwwmun-nyc.org/mun-nairobi","https://www.fwwmun-nyc.org/"
"FWWMUN Johannesburg 2026","MUN","In-Person","Africa","HS/Uni","TBA","Future We Want MUN Johannesburg is designed to make international style MUN accessible to a broad delegate base in Southern Africa. It is attractive for students who want a clear registration pathway and committee debate combined with training elements. Delegates attend for negotiation practice and international network building.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Workshops and closing","High school and university students depending on track","1. Visit the Johannesburg edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Submit required documents and position papers if applicable","mun|johannesburg|international|hs-uni|africa","https://www.fwwmun-nyc.org/mun-johannesburg","https://www.fwwmun-nyc.org/"
"FWWMUN Marrakech 2026","MUN","In-Person","Africa","HS/Uni","TBA","Future We Want MUN Marrakech offers an international committee experience that is designed to be accessible for global delegates. It is useful for students who want debate practice plus a conference program that feels like a youth summit. Delegates attend for diplomacy skill growth and international peer connections.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Workshops and closing","High school and university students depending on track","1. Visit the Marrakech edition page. 2. Register as individual or delegation. 3. Pay fees. 4. Follow assignment and submission instructions","mun|marrakech|international|hs-uni|workshops","https://www.fwwmun-nyc.org/mun-marrakech","https://www.fwwmun-nyc.org/"
"Babcock International Model United Nations (BIMUN Nigeria) 2026","MUN","In-Person","Africa","HS/Uni","TBA","BIMUN Nigeria provides a structured MUN style conference experience within West Africa and supports delegate skill growth in research speaking and drafting. It is valuable for students seeking a formal diplomacy simulation in a regional context. Delegates attend to build confidence and leadership while engaging in structured committee debate.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school and university students depending on organizer rules","1. Visit the BIMUN Nigeria site. 2. Register as delegate or delegation. 3. Pay fees if required. 4. Submit required documents and position papers if applicable","mun|nigeria|africa|hs-uni|in-person","https://bimun.org.ng/","https://bimun.org.ng/"
"International Model African Union Conference 2026","MUN","In-Person","Africa","HS/Uni","TBA","This conference simulates African Union style diplomacy and is useful for students who want regional governance focus rather than UN only committees. It is attractive because it trains negotiation and coalition building within African policy frameworks. Delegates attend to develop deeper regional context awareness and structured debate skills.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Closing and certificates","High school and university students depending on edition rules","1. Visit the organizer site. 2. Register as participant. 3. Pay fees if required. 4. Follow assignment and submission guidance","african-union|mun|africa|policy|diplomacy","https://modelafricanunion.org/","https://modelafricanunion.org/"
"Kenya Model United Nations 2026 Listing","MUN","In-Person","Africa","HS/Uni","TBA","Kenya Model United Nations is a regional conference option that offers students committee debate and diplomacy practice within an African context. It is useful for building speaking and drafting skills and for connecting with regional delegate networks. Delegates attend to gain formal simulation experience and leadership practice.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Closing","High school and university students depending on organizer rules","1. Open the listing page. 2. Follow the provided registration directions. 3. Complete payment if required. 4. Submit any required documents","mun|kenya|africa|in-person|listing","https://vabu.app/u/kenya-model-united-nations","https://vabu.app/u/kenya-model-united-nations"
"BRAMUN 2026","MUN","In-Person","Africa","HS/Uni","TBA","BRAMUN is listed as an international style MUN conference option and is designed to gather delegates for structured committee debate. It is useful for students aiming to practice negotiation drafting and public speaking in a competitive but learning oriented environment. Delegates attend for both experience building and network expansion.","Opening -> Committee sessions -> Debate and caucus -> Draft resolutions -> Voting -> Closing and awards","High school and university students depending on edition rules","1. Apply via the listed conference portal. 2. Confirm registration category. 3. Pay fees. 4. Follow assignment and submission instructions","mun|international|africa|hs-uni|conference","https://mymun.com/conferences/bramun-2026","https://mymun.com/conferences/bramun-2026"
"AIMUN Africa 2026","MUN","In-Person","Africa","HS/Uni","TBA","AIMUN Africa is positioned as a regional branch of an international MUN circuit and aims to attract delegates seeking global style committees within Africa. It is attractive for students who want international exposure and structured debate practice without long distance travel. Delegates attend to build speaking confidence and diplomacy skills with a diverse delegate pool.","Opening -> Committee sessions -> Debate and caucus -> Draft outcomes -> Voting -> Closing","High school and university students depending on organizer rules","1. Apply via the listed conference page. 2. Choose participation type. 3. Pay fees if required. 4. Submit any requested documents","mun|africa|international|hs-uni|circuit","https://mymun.com/conferences/aimun-africa-2025","https://mymun.com/conferences/aimun-africa-2025"
