"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"Bebras Australia","Logic","Online","Australia","All","2026-02-09","Computational Thinking Challenge.","45-Min Exam","AUS Students","School Reg","Logic","amt.edu.au","amt.edu.au"
"Girls Who Code Challenge","App","Online","USA","All","2026-02-11","Submission Deadline. ""AI + Cybersecurity"".","Project","US Residents","Submit Online","AI, Cyber","girlswhocode.com","girlswhocode.com"
"CCC (Canada)","Algo","School","Canada/Global","Int/Adv","2026-02-18","Canadian Computing Competition.","3-Hour Exam","Schools","Teacher Order","C++, Python","cemc.uwaterloo.ca","cemc.uwaterloo.ca"
"USACO Third Contest","Algo","Online","USA/Global","Adv","2026-02-20","Last chance to qualify for US Open.","4-Hour Exam","Open","Log in","Algo","usaco.org","usaco.org"
"HPE CodeWars (Reg End)","Algo","Hybrid","Global","All","Feb 2026","Registration typically closes late Feb.","Contest","HS Students","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"Saint Joe's Analytics R1","Data","Online","USA (PA)","Int","2026-02-25","Round 1 (Virtual) of SJU competition.","Data Viz","HS Teams","Reg by Dec 19","Data Sci","sju.edu","sju.edu"
"Montgomery College PC","Algo","In-Person","Germantown, MD","Int","2026-02-27","16th Annual contest. Java/Python.","90-Min Exam","DMV Area","Teacher Reg","Local","montgomerycollege.edu","montgomerycollege.edu"
"HackIllinois","Hack","In-Person","Urbana, IL","Adv","2026-02-27","UIUC hosted. HS tracks available.","36-Hour Hack","Student","Application","Open Source","hackillinois.org","hackillinois.org"
"UMD HS Contest","Algo","In-Person","College Park","Adv","2026-02-28","U. Maryland main contest.","3-Hour Contest","Teams of 3","Teacher Reg","University","cs.umd.edu","cs.umd.edu"
"Taylor Univ. CodeCon","Algo","In-Person","Upland, IN","All","2026-02-28","Beginner and Advanced divisions.","3-Hour Contest","HS Students","Online Form","Regional","codecon.cse.taylor.edu","codecon.cse.taylor.edu"
"Swift Challenge Due","App","Online","Global","All","2026-02-28","Submission deadline for Apple contest.","Project","Student","Upload","iOS","developer.apple.com","developer.apple.com"
"PicoCTF Competition","Security","Online","Global","All","2026-03-07","The main event. 10 days.","CTF","Teams of 1-5","Online","Cyber, Crypto","picoctf.org","picoctf.org"
"HPE CodeWars Houston","Algo","In-Person","Houston, TX","All","2026-03-07","Flagship HP event.","3-Hour Contest","HS Teams","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"HPE CodeWars Roseville","Algo","In-Person","Roseville, CA","All","2026-03-07","California HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"HPE CodeWars Virtual","Algo","Online","Global","All","2026-03-07","For those not near a hub.","3-Hour Contest","HS Teams","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"HPE CodeWars Ft Collins","Algo","In-Person","Ft Collins, CO","All","2026-03-07","Colorado HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"HPE CodeWars NJ","Algo","In-Person","Jersey City, NJ","All","2026-03-07","New Jersey HP campus.","3-Hour Contest","HS Teams","Teacher Reg","Corporate","hpecodewars.org","hpecodewars.org"
"TreeLine Hacks","Hack","Online","Global","Beg","2026-03-06","Virtual hackathon.","36-Hour Hack","HS Students","Devpost","Social Good","allhackathons.com","allhackathons.com"
"HackFiesta Miami","Hack","Online","Global","Beg","2026-03-09","Design and low-code friendly.","Week-Long","HS/College","Devpost","Design, Web","allhackathons.com","allhackathons.com"
"Saint Joe's Finals","Data","In-Person","Phila, PA","Int","2026-03-11","Final round of Analytics comp.","Presentation","Finalists","Qualify","Data Viz","sju.edu","sju.edu"
"SBU Contest","Algo","In-Person","Bolivar, MO","All","2026-03-13","Southwest Baptist Univ.","Contest","HS Teams","Teacher Reg","Java, C++","sbuniv.edu","sbuniv.edu"
"SmathHacks","Hack","Hybrid","Durham, NC","All","2026-03-14","NC School of Science & Math.","24-Hour Hack","HS Students","Register","STEM","smathhacks.ncssm.edu","smathhacks.ncssm.edu"
"UT Dallas Battle","Algo","In-Person","Dallas, TX","Int","2026-03-21","""Battle of the Brains"". Major TX event.","3-Hour Contest","HS Teams","Teacher Reg","University","calendar.utdallas.edu","calendar.utdallas.edu"
"Swiss Olympiad Finals","Algo","In-Person","Switzerland","Adv","2026-03-21","SOI Finals.","2-Day Exam","Qualifiers","Invite","IOI Qual","soi.ch","soi.ch"
"ICPC RSU HS Contest","Algo","In-Person","Claremore, OK","All","2026-03-27","Rogers State Univ. ICPC style.","3-Hour Contest","Teams of 3","Teacher Reg","ICPC Style","icpc.tjs.rsu.edu","icpc.tjs.rsu.edu"
"USACO US Open","Algo","Online","USA/Global","Adv","2026-03-28","The National Championship.","5-Hour Exam","Open","Log in","Championship","usaco.org","usaco.org"
"Lockheed CYBERQUEST","Security","Hybrid","Global","Adv","2026-03-28","Major industry CTF.","3-Hour CTF","HS Teams","Reg Jan 5","Defense","lockheedmartin.com","lockheedmartin.com"
"Botball Oklahoma","Robotics","In-Person","OKC, OK","Int","2026-03-28","Regional tournament.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"RoboRAVE Greece","Robotics","In-Person","Thessaloniki","All","2026-03-28","Europe Open.","Challenges","Teams","Register","International","roborave.gr","roborave.gr"
"FIRST Tech Challenge","Robotics","In-Person","Houston, TX","Adv","Apr 2026","World Championship (approx date).","Robot Game","Qualifiers","Advancement","Engineering","firstinspires.org","firstinspires.org"
"CyberPatriot Reg","Security","Online","USA","All","2026-04-01","Registration opens for Season 18.","Training","Teams","Coach Reg","Defense","uscyberpatriot.org","uscyberpatriot.org"
"StormHacks","Hack","In-Person","Burnaby, BC","All","2026-10-04","(Planning) SFU.","24-Hour Hack","HS/College","Application","Western Canada","stormhacks.com","stormhacks.com"
"DiamondHacks","Hack","In-Person","San Diego, CA","All","2026-04-04","UCSD. Focused on impact.","24-Hour Hack","HS/College","Application","University","news.mlh.io","news.mlh.io"
"Botball DC","Robotics","In-Person","Great Mills, MD","Int","2026-04-11","Greater DC Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"Botball Idaho","Robotics","In-Person","Eagle, ID","Int","2026-04-11","Idaho Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"UVA HS Contest","Algo","In-Person","Charlottesville","Adv","2026-04-11","Univ. of Virginia. Large regional.","Contest","Teams of 3","Teacher Reg","University","acm.cs.virginia.edu","acm.cs.virginia.edu"
"George Fox Contest","Algo","Hybrid","Newberg, OR","All","2026-04-11","Division I, II, III.","Contest","HS Teams","Excel Form","Java, Python","cs.georgefox.edu","cs.georgefox.edu"
"Triton Days (UCSD)","Info","In-Person","San Diego, CA","All","2026-04-11","Open house, often includes engineering demos.","Fair","Admit/Prosp","Register","College Prep","blink.ucsd.edu","blink.ucsd.edu"
"Code/Art Pitch","App","In-Person","Miami, FL","All","2026-04-11","""Future Tech LeadHERs"".","Pitch","Girls/NB","Submit App","Art, Code","code-art.com","code-art.com"
"Botball Austria","Robotics","In-Person","St. Pölten","Int","2026-04-13","ECER Tournament.","Autonomous","Teams","Teacher Reg","International","kipr.org","kipr.org"
"Baltic Olympiad (BOI)","Algo","In-Person","Finland","Adv","2026-04-15","Regional IOI qualifier.","2-Day Exam","National Team","Qualification","Olympiad","boi2026.fi","boi2026.fi"
"Botball Texas","Robotics","In-Person","Houston, TX","Int","2026-04-18","Texas Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"Technovation Deadline","App","Online","Global","All","2026-04-20","Submission deadline for girls.","App/Plan","Girls Teams","Submit Online","Social Entrep.","technovationchallenge.org","technovationchallenge.org"
"VEX Worlds (HS)","Robotics","In-Person","Dallas, TX","Adv","2026-04-25","High School Division.","Robot Game","Qualifiers","Advancement","Engineering","recf.org","recf.org"
"Botball New Mexico","Robotics","In-Person","Albuquerque","Int","2026-04-25","NM Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"Botball New England","Robotics","In-Person","Lawrence, MA","Int","2026-05-02","NE Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"Botball San Diego","Robotics","In-Person","San Diego, CA","Int","2026-05-02","SoCal Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"Botball NorCal","Robotics","In-Person","Milpitas, CA","Int","2026-05-09","Bay Area Regional.","Autonomous","Teams","Teacher Reg","Robotics","kipr.org","kipr.org"
"MasseyHacks XII","Hack","In-Person","Windsor, ON","All","2026-05-09","Major Canadian HS hackathon.","24-Hour Hack","HS Students","Application","Canada","masseyhacks.ca","masseyhacks.ca"
"EGOI 2026","Algo","In-Person","Italy","Adv","2026-05-12","European Girls' Olympiad.","2-Day Exam","National Team","Qualification","Women in Tech","stats.egoi.org","stats.egoi.org"
"Robofest Worlds","Robotics","In-Person","Southfield, MI","All","2026-05-14","World Championship.","Autonomous","Qualifiers","Advancement","Vision, AI","robofest.net","robofest.net"
"Coolest Projects UK","Make","In-Person","Bradford, UK","All","2026-05-16","UK Showcase event.","Showcase","Age <18","Register","Creative","coolestprojects.org","coolestprojects.org"
"National STEM Fest","STEM","In-Person","Wash DC","Adv","TBA (Spring 2026)","Finals for top projects.","Showcase","Qualifiers","Advancement","Research","nationalstemfestival.com","nationalstemfestival.com"
"Austrian Olympiad","Algo","In-Person","Vienna","Adv","2026-06-01","Finals / CS Day.","Exam","Qualifiers","Qualification","National","ocg.at","ocg.at"
"MATE ROV Worlds","Robotics","In-Person","Canada","Adv","2026-06-25","Underwater Robotics Championship.","ROV Missions","Qualifiers","Advancement","Marine Eng","materovcompetition.org","materovcompetition.org"
"DownUnderCTF","Security","Online","Global","Int","2026-07-18","Major Australian CTF (prep in June).","CTF","Open","Register","Cyber","downunderctf.com","downunderctf.com"
"IOI 2026","Algo","In-Person","Uzbekistan","Adv","2026-08-09","World Championship.","2-Day Exam","National Team","Qualification","The Summit","ioi2026.uz","ioi2026.uz"
"HackTheNorth","Hack","In-Person","Waterloo, ON","All","2026-09-12","Prep in Spring/Summer.","36-Hour Hack","Students","Application","Massive","hackthenorth.com","hackthenorth.com"
"PennApps","Hack","In-Person","Phila, PA","All","Sep 2026","Prep in Spring/Summer.","36-Hour Hack","Students","Application","Ivy League","pennapps.com","pennapps.com"
"Congressional App","App","Online","USA","All","2026-05-01","Challenge Opens.","App Dev","USA Students","District Rep","Civic Tech","congressionalappchallenge.us","congressionalappchallenge.us"
"Zero Robotics","Code","Online","Global","Int","TBA (Summer 2026)","Code satellites on ISS.","Simulation","Teams","Application","Space, SPHERES","zerorobotics.mit.edu","zerorobotics.mit.edu"
"Imagine Cup Junior","AI","Online","Global","All","2026-01-09","Submission deadline.","AI Concept","Age 13-18","Submit Project","Microsoft, AI","imaginecup.microsoft.com","imaginecup.microsoft.com"
"CodeQuest (Lockheed)","Algo","In-Person","Global","Int","2026-01-05","Registration opens.","Contest","HS Teams","Teacher Reg","Corporate","lockheedmartin.com","lockheedmartin.com"
"ISEC Data Challenge","Data","Online","Global","Adv","Jan 2026","Fault detection in code.","Prediction","Open","Kaggle","ML, Code","kaggle.com","kaggle.com"
"RevisionDojo Research","Data","Online","Global","Int","Jan 2026","Predict student answers (ML).","Classification","Open","Kaggle","EdTech, ML","kaggle.com","kaggle.com"
"Big Data Bowl","Data","Online","Global","Adv","Jan 2026","NFL player tracking data.","Analysis","Open","Kaggle","Sports, ML","kaggle.com","kaggle.com"
"Technocup Round 2","Algo","Online","Global","Adv","2026-02-08","Sport Coding (Russian/Global).","Contest","Open","Register","Codeforces","cups.online","cups.online"
"Innopolis Open R2","Algo","Online","Global","Adv","2026-01-15","Innopolis University Contest.","Contest","HS Students","Register","Russia/Global","cups.online","cups.online"
"Innopolis Finals","Algo","Online","Global","Adv","2026-03-13","Final round.","Contest","Qualifiers","Invite","High Level","cups.online","cups.online"
"Open Olympiad Quals","Algo","Online","Global","Adv","2026-01-13","""XX Open Olympiad"". Long round.","Long Contest","Open","Register","High Difficulty","inf-open.ru","inf-open.ru"
"Open Olympiad Finals","Algo","Hybrid","Moscow","Adv","2026-03-04","Finals of Open Olympiad.","2-Day Exam","Qualifiers","Invite","High Difficulty","inf-open.ru","inf-open.ru"
"Infosec Hackathon","Security","Online","Global","All","TBA (Spring 2026)","University hackathon.","CTF/Hack","Students","Register","Cyber","ctftime.org","ctftime.org"
"WUST CTF","Security","In-Person","St. Louis, MO","Int","2026-04-06","WashU St. Louis CTF.","CTF","Local HS","Team Reg","University","soclab.wust.edu","soclab.wust.edu"
"UMassCTF","Security","Online","Global","Int","2026-04-10","UMass Amherst CTF.","CTF","Open","Register","University","techlearningcollective.com","techlearningcollective.com"
"Midnight Sun CTF","Security","Online","Global","Adv","2026-04-11","Qualifiers for Finals.","CTF","Open","Register","Sweden/Global","ctftime.org","ctftime.org"
"BlueHens CTF","Security","Online","Global","Int","2026-04-17","U. Delaware CTF.","CTF","Open","Register","University","ctftime.org","ctftime.org"
"Viper Nova CTF","Security","Online","Global","Int","2026-05-08","Romania hosted.","CTF","Open","Register","European","ctftime.org","ctftime.org"
"SSMCTF Qualifiers","Security","Online","Global","Int","2026-06-07","High School specific CTF.","CTF","HS Students","Register","Student-Run","techlearningcollective.com","techlearningcollective.com"
"Build4Students","Hack","Online","Global","All","Jan 2026","Month long hackathon.","Hack","Students","Devpost","Virtual","hackathons.hackclub.com","hackathons.hackclub.com"
"Alameda Hacks","Hack","Online","Global","Beg","2026-01-01","Beginner focus.","Virtual","HS Students","Devpost","Intro","hackathons.hackclub.com","hackathons.hackclub.com"
"Winter MelonJam","Game","Online","Global","All","2025-12-26","Game Jam (ends Jan).","Game Jam","Open","Itch.io","Game Dev","hackathons.hackclub.com","hackathons.hackclub.com"
"Global Hack Week","Skill","Online","Global","All","2026-01-09","MLH ""Beginners"" week.","Workshops","Open","MLH Reg","Learning","mlh.io","mlh.io"
"SheHacks+ 10","Hack","In-Person","London, ON","All","2026-01-09","Western University.","36-Hour Hack","Women/NB","Application","Canada","mlh.io","mlh.io"
"DeltaHacks","Hack","In-Person","Hamilton, ON","All","2026-01-10","McMaster University.","24-Hour Hack","Students","Application","Canada","deltahacks.com","deltahacks.com"
"SB Hacks XII","Hack","In-Person","Santa Barbara","All","2026-01-10","UCSB.","36-Hour Hack","Students","Application","Beach","mlh.io","mlh.io"
"nwHacks","Hack","In-Person","Vancouver, BC","Adv","2026-01-17","Western Canada's largest.","24-Hour Hack","Students","Application","High Prestige","mlh.io","mlh.io"
"Hoya Hacks","Hack","In-Person","Washington DC","All","2026-01-23","Georgetown University.","36-Hour Hack","Students","Application","Policy/Tech","mlh.io","mlh.io"
"Rice Datathon","Data","In-Person","Houston, TX","Adv","2026-01-23","Rice University. Data focus.","Data Hack","Students","Application","Data Sci","mlh.io","mlh.io"
"SwampHacks","Hack","In-Person","Gainesville, FL","All","2026-01-23","U. Florida.","36-Hour Hack","Students","Application","Gator","mlh.io","mlh.io"
"ConUHacks X","Hack","In-Person","Montreal, QC","All","2026-01-24","Concordia University.","24-Hour Hack","Students","Application","Canada","mlh.io","mlh.io"
"Hard Hack","Hardware","In-Person","La Jolla, CA","All","2026-01-24","UCSD. Hardware focus.","Hardware","Students","Application","Electronics","mlh.io","mlh.io"
"TAMUhack","Hack","In-Person","College Stn, TX","Adv","2026-01-24","Texas A&M.","24-Hour Hack","Students","Application","Major Event","mlh.io","mlh.io"
"Hack@Brown","Hack","In-Person","Providence, RI","Adv","2026-01-31","Brown University.","Hackathon","Students","Application","Ivy League","mlh.io","mlh.io"
"HackViolet","Hack","In-Person","Blacksburg, VA","All","2026-01-31","Virginia Tech. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive","mlh.io","mlh.io"
"PolyHACKS 2026","Hack","Online","Montreal, QC","All","2026-01-31","Polytechnique Montreal.","Digital Only","Students","Register","French/Eng","mlh.io","mlh.io"
"UTRA Hacks","Hack","In-Person","Toronto, ON","All","2026-01-31","U of Toronto Robotics.","Robotics Hack","Students","Application","Robotics","mlh.io","mlh.io"
"Mac-a-Thon","Hack","In-Person","Hamilton, ON","All","2026-02-06","McMaster.","Hackathon","Students","Application","Canada","mlh.io","mlh.io"
"QHacks","Hack","In-Person","Kingston, ON","All","2026-02-06","Queen's University.","Hackathon","Students","Application","Canada","mlh.io","mlh.io"
"UGAHacks 11","Hack","In-Person","Athens, GA","All","2026-02-06","U. Georgia.","Hackathon","Students","Application","South US","mlh.io","mlh.io"
"DevFest","Hack","In-Person","New York, NY","All","2026-02-07","Columbia University.","Hackathon","Students","Application","Ivy League","mlh.io","mlh.io"
"InnovateHer","Hack","In-Person","W. Lafayette","All","2026-02-07","Purdue. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive","mlh.io","mlh.io"
"QWER Hacks","Hack","In-Person","Los Angeles","All","2026-02-07","UCLA. LGBTQ+ focus.","Hackathon","Inclusive","Application","Inclusive","mlh.io","mlh.io"
"CTRL+HACK+DEL","Hack","In-Person","Markham, ON","All","2026-02-13","MLH event.","Hackathon","Students","Application","Canada","mlh.io","mlh.io"
"SFHacks 2026","Hack","In-Person","San Francisco","All","2026-02-13","San Francisco State Univ.","Hackathon","Students","Application","Bay Area","mlh.io","mlh.io"
"Hacklytics","Data","In-Person","Atlanta, GA","Adv","2026-02-20","Georgia Tech. Data focus.","Data Hack","Students","Application","Data Sci","mlh.io","mlh.io"
"CrimsonCode","Hack","In-Person","Pullman, WA","All","2026-02-21","Washington State Univ.","Hackathon","Students","Application","PNW","mlh.io","mlh.io"
"HackHERS","Hack","In-Person","New Brunswick","All","2026-02-21","Rutgers. Women focus.","Hackathon","Women/NB","Application","Inclusive","mlh.io","mlh.io"
"Hack@URI","Hack","In-Person","Kingston, RI","All","2026-02-21","U. Rhode Island.","Hackathon","Students","Application","New England","mlh.io","mlh.io"
"Pearl Hacks","Hack","In-Person","Chapel Hill","All","2026-02-21","UNC. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive","mlh.io","mlh.io"
"CUhackit","Hack","In-Person","Clemson, SC","All","2026-02-27","Clemson University.","Hackathon","Students","Application","South US","mlh.io","mlh.io"
"HenHacks","Hack","In-Person","Newark, DE","All","2026-02-28","U. Delaware.","Hackathon","Students","Application","Mid-Atlantic","mlh.io","mlh.io"
"WiCHacks","Hack","In-Person","Rochester, NY","All","2026-02-28","RIT. Women/NB focus.","Hackathon","Women/NB","Application","Inclusive","mlh.io","mlh.io"
"cmd-f 2026","Hack","In-Person","Vancouver, BC","All","2026-03-07","UBC. Women/NB focus.","Hackathon","Women/NB","Application","Canada","mlh.io","mlh.io"
"Rockethacks","Hack","In-Person","Toledo, OH","All","2026-03-14","U. Toledo.","Hackathon","Students","Application","Midwest","mlh.io","mlh.io"
"Kent Hack Enough","Hack","In-Person","Kent, OH","All","2026-03-28","Kent State.","Hackathon","Students","Application","Midwest","mlh.io","mlh.io"
"RevolutionUC","Hack","In-Person","Cincinnati, OH","All","2026-03-28","U. Cincinnati.","Hackathon","Students","Application","Midwest","mlh.io","mlh.io"
"HackByte 4.0","Hack","In-Person","Jabalpur, MP","All","2026-04-03","IIITDM Jabalpur.","Hackathon","Students","Application","India","news.mlh.io","news.mlh.io"
"DiamondHacks","Hack","In-Person","San Diego, CA","All","2026-04-04","UCSD.","Hackathon","Students","Application","West Coast","news.mlh.io","news.mlh.io"
"Bitcamp","Hack","In-Person","College Park","Adv","2026-04-10","UMD. Major event.","36-Hour Hack","Students","Application","Major Event","news.mlh.io","news.mlh.io"
"HackAmerica","Hack","Online","Global","All","2026-04-11","Student-led HS hackathon.","Virtual","HS Students","Register","HS Focus","allhackathons.com","allhackathons.com"
"hackMHS XI","Hack","In-Person","Millburn, NJ","All","2026-05-29","Millburn HS. 11th year.","24-Hour Hack","HS Students","Register","HS Focus","allhackathons.com","allhackathons.com"
"Shower Hacks","Hack","In-Person","San Francisco","All","2026-10-03","""Winner takes a shower"". Fun.","Hackathon","Open","Register","Fun","allhackathons.com","allhackathons.com"
"305 Hack Spring","Hack","Online","Global","All","2026-03-20","Miami based.","Virtual","Students","Devpost","Spring Break","allhackathons.com","allhackathons.com"
"WAV Hackathon","Hack","In-Person","Norfolk, VA","All","2026-03-09","Urban League.","Hackathon","Students","Register","Civic Tech","allhackathons.com","allhackathons.com"
"Aclimakathon","Hack","In-Person","Global","All","2026-03-06","Climate focus.","Hackathon","Students","Register","Climate","allhackathons.com","allhackathons.com"
"Global Hack Week Data","Skill","Online","Global","All","2026-02-13","MLH Data Science week.","Workshops","Open","MLH Reg","Learning","mlh.io","mlh.io"
"Global Hack Week Cloud","Skill","Online","Global","All","2026-03-13","MLH Cloud Engineering week.","Workshops","Open","MLH Reg","Learning","mlh.io","mlh.io"
"Bebras Mini Challenge","Logic","Online","Australia","All","Year-Round","Practice for Bebras.","Mini-Exam","Students","No Login","Practice","amt.edu.au","amt.edu.au"
"Bebras 365","Logic","Online","Australia","All","Year-Round","Practice archive.","Practice","Open","No Login","Practice","amt.edu.au","amt.edu.au"
"CoderZ League Spring","Robotics","Online","Global","Beg/Int","TBA (Spring 2026)","Virtual robotics league.","Sim","Classes","Teacher Reg","Block Code","gocoderz.com","gocoderz.com"
"Young Coders Comp","Scratch","Online","UK","Beg","2026-05-08","Submission deadline.","Game Design","Age 8-13","Submit","Scratch","codingcompetition.org","codingcompetition.org"
"Coolest Projects Belgium","Make","In-Person","Mechelen","All","2026-03-14","Technopolis.","Showcase","Age <18","Register","European","online.coolestprojects.org","online.coolestprojects.org"
"Coolest Projects Japan","Make","In-Person","Japan","All","2026-03-29","Tokyo.","Showcase","Age <18","Register","Asian","online.coolestprojects.org","online.coolestprojects.org"
"Coolest Projects MN","Make","In-Person","St. Paul, MN","All","2026-04-11","Science Museum of MN.","Showcase","Age <18","Register","USA","online.coolestprojects.org","online.coolestprojects.org"
"Coolest Projects IE","Make","In-Person","Dublin","All","2026-04-25","Explorium.","Showcase","Age <18","Register","Ireland","online.coolestprojects.org","online.coolestprojects.org"
"Coolest Projects GA","Make","In-Person","Georgia, USA","All","2026-05-02","Georgia Tech/Area.","Showcase","Age <18","Register","USA","online.coolestprojects.org","online.coolestprojects.org"
"ProjectCSGIRLS","Make","Online","USA","All","TBA (Spring 2026)","Registration for 2026 season.","Project","Girls 6-8","Register","Girls/STEM","projectcsgirls.com","projectcsgirls.com"
"Technovation Deadline","App","Online","Global","All","2026-04-20","Submission deadline.","App/Biz Plan","Girls","Submit","Social Entrep.","iridescentsupport.zendesk.com","iridescentsupport.zendesk.com"
"NCWIT Aspirations","Award","Online","USA","Adv","Oct 2026","(Planning) Applications open Fall.","Portfolio","HS Girls","Apply","Award","aspirations.org","aspirations.org"
"MnTech Aspirations","Award","Online","Minnesota","Adv","Apr 2026","Awards ceremony.","Portfolio","MN Girls","Invite","Award","mntech.org","mntech.org"
